Fecha,Hora,Celda,Latitud,Longitud,PM2.5,Temperatura,Velocidad,Direccion
14/09/2023,15:53,F6,21° 52' 49'',102° 17' 48'',2,32,7.4,10°
14/09/2023,16:11,F6,21° 52' 46'',102° 18' 12'',3,32,13.1,75°
14/09/2023,16:33,F6,21° 52' 32'',102° 18' 21'',2,31,5.5,350°
14/09/2023,17:39,F6,21° 52' 27'',102° 18' 03'',3,32,5.5,350°
14/09/2023,17:56,F7,21° 52' 44'',102° 17' 36'',2,31,14.8,81°
14/09/2023,18:11,F7,21° 52' 46'',102° 17' 21'',2,31,14.7,81°
14/09/2023,18:25,F7,21° 52' 44'',102° 17' 10'',2,31,14.7,81°
14/09/2023,15:26,F7,21° 52' 42'',102° 16' 54'',2,30,14.7,81°
19/09/2023,15:46,F10,21° 52' 24'',102° 14' 26'',2,33,11.7,356°
19/09/2023,16:02,F10,21° 52' 46'',102° 14' 54'',2,34,11.7,14°
19/09/2023,16:18,F10,21° 52' 50'',102° 14' 36'',1,32,11.7,14°
19/09/2023,16:37,F10,21° 52' 28'',102° 14' 37'',2,32,11.6,15°
19/09/2023,16:54,E10,21° 52' 00'',102° 14' 31'',3,32,4.7,15°
19/09/2023,17:12,E10,21° 51' 44'',102° 14' 39'',5,31,4.8,62°
19/09/2023,17:24,E10,21° 51' 30'',102° 14' 49'',2,30,3.7,280°
19/09/2023,15:53,E10,21° 51' 30'',102° 14' 50'',2,31,3.7,280°
27/09/2023,16:08,G9,21° 53' 05'',102° 15' 25'',2,30,14.7,40°
27/09/2023,16:20,G9,21° 53' 15'',102° 15' 22'',2,33,14.7,40°
27/09/2023,16:40,G9,21° 53' 28'',102° 15' 27'',2,32,14.7,40°
27/09/2023,16:52,G9,21° 53' 38'',102° 15' 33'',2,33,14.7,40°
27/09/2023,17:03,H9,21° 53' 50'',102° 15' 32'',2,31,13.7,35°
27/09/2023,17:17,H9,21° 54' 02'',102° 15' 33'',2,30,13.7,35°
27/09/2023,17:30,H9,21° 54' 18'',102° 15' 45'',3,32,13.6,34°
27/09/2023,09:03,H9,21° 54' 24'',102° 15' 26'',3,31,13.7,36°
28/09/2023,09:16,I7,21° 55' 37'',102° 17' 03'',5,25,6.9,64°
28/09/2023,09:26,I7,21° 55' 19'',102° 17' 06'',5,24,6.9,65°
28/09/2023,09:38,I7,21° 55' 10'',102° 17' 08'',6,25,6.9,65°
28/09/2023,09:40,I7,21° 54' 55'',102° 17' 12'',4,25,6,81°
28/09/2023,09:48,H7,21° 54' 50'',102° 17' 12'',4,25,6,81°
28/09/2023,09:57,H7,21° 54' 40'',102° 17' 12'',4,25,6,81°
28/09/2023,10:06,H7,21° 54' 30'',102° 17' 10'',4,26,6,81°
28/09/2023,10:21,H7,21° 54' 09'',102° 17' 08'',5,25,6,81°
28/09/2023,10:29,G7,21° 54' 01'',102° 17' 08'',5,28,6,81°
28/09/2023,10:42,G7,21° 53' 45'',102° 17' 03'',5,29,4.7,87°
28/09/2023,10:52,G7,21° 53' 31'',102° 17' 01'',5,27,4.7,87°
28/09/2023,11:03,G7,21° 53' 24'',102° 16' 56'',5,28,4.7,87°
28/09/2023,11:26,G8,21° 53' 45'',102° 16' 43'',4,28,4.5,87°
28/09/2023,11:38,G8,21° 53' 33'',102° 16' 30'',5,30,4.4,29°
28/09/2023,11:45,G8,21° 53' 25'',102° 16' 26'',5,30,4.3,28°
28/09/2023,12:13,G8,21° 53' 07'',102° 16' 21'',8,28,6.2,27°
06/10/2023,09:52,D6,21° 50' 40'',102° 17' 38'',3,25,16.3,80°
06/10/2023,10:06,D6,21° 50' 41'',102° 17' 57'',3,25,16.4,80°
06/10/2023,10:21,D6,21° 50' 44'',102° 18' 20'',2,26,16.7,70°
06/10/2023,10:28,D6,21° 50' 43'',102° 18' 27'',2,25,16.7,70°
06/10/2023,11:23,D7,21° 50' 41'',102° 17' 28'',4,25,18.5,60°
06/10/2023,11:34,D7,21° 50' 44'',102° 17' 10'',3,26,18.5,60°
06/10/2023,11:42,D7,21° 50' 45'',102° 17' 03'',3,26,18.5,60°
06/10/2023,11:50,D7,21° 50' 46'',102° 16' 52'',3,27,18.5,60°
06/10/2023,11:57,D8,21° 50' 47'',102° 16' 49'',8,26,15.9,100°
06/10/2023,12:08,D8,21° 50' 52'',102° 16' 33'',1,27,11.1,40°
06/10/2023,12:19,D8,21° 51' 04'',102° 16' 18'',3,30,11.1,40°
06/10/2023,12:25,D8,21° 51' 06'',102° 16' 10'',3,31,11.1,40°
19/10/2023,16:18,I9,21° 55' 12'',102° 15' 41'',2,26,14.8,100°
19/10/2023,16:26,I9,21° 55' 18'',102° 15' 42'',2,28,28.4,132°
19/10/2023,16:34,I9,21° 55' 23'',102° 15' 44'',2,30,28.4,132°
19/10/2023,16:42,I9,21° 55' 31'',102° 15' 49'',2,29,23.8,134°
19/10/2023,16:45,I8,21° 55' 31'',102° 15' 49'',2,29,23.8,134°
19/10/2023,16:51,I8,21° 55' 37'',102° 15' 55'',2,29,23.9,134°
19/10/2023,17:01,I8,21° 55' 47'',102° 16' 06'',2,28,24,134°
19/10/2023,17:10,I8,21° 55' 54'',102° 16' 11'',31,28,24.2,135°
19/10/2023,17:20,J8,21° 56' 05'',102° 16' 20'',2,28,24.3,135°
19/10/2023,17:28,J8,21° 56' 13'',102° 16' 26'',2,27,24.5,135°
19/10/2023,17:34,J8,21° 56' 17'',102° 16' 30'',2,27,24.5,135°
19/10/2023,17:43,J8,21° 56' 27'',102° 16' 39'',2,26,24.2,108°
19/10/2023,17:51,J7,21° 56' 31'',102° 16' 44'',2,26,24.2,108°
19/10/2023,18:00,J7,21° 56' 35'',102° 16' 59'',2,25,24.2,108°
19/10/2023,18:10,J7,21° 56' 38'',102° 17' 14'',2,25,24.2,108°
19/10/2023,18:20,J7,21° 56' 42'',102° 17' 27'',2,24,24.2,108°
19/10/2023,18:25,J6,21° 56' 42'',102° 17' 29'',2,24,24.2,109°
19/10/2023,18:33,J6,21° 56' 44'',102° 17' 39'',8,25,27.1,100°
19/10/2023,18:40,J6,21° 56' 46'',102° 17' 48'',3,24,27,100°
19/10/2023,18:50,J6,21° 56' 46'',102° 17' 58'',9,24,27,100°
26/10/2023,11:36,D5,21° 50' 41.63'',102° 18' 35.6'',8,28,6.8,151°
26/10/2023,11:47,D5,21° 50' 35.9'',102° 18' 50.6'',8,30,6.8,151°
26/10/2023,11:56,D5,21° 50' 32.19'',102° 19' 5.98'',7,30,6.8,146°
26/10/2023,12:03,D5,21° 50' 34.50'',102° 19' 19.9'',9,29,6.8,146°
26/10/2023,12:17,D4,21° 50' 35.97'',102° 19' 29'',10,29,9.3,20°
26/10/2023,12:27,D4,21° 50' 39.03'',102° 19' 43.9'',9,29,9.3,20°
26/10/2023,12:38,D4,21° 50' 45.21'',102° 20' 1.83'',9,29,9.3,20°
26/10/2023,12:46,D4,21° 50' 49.11'',102° 20' 13.5'',9,29,6.6,161°
26/10/2023,12:54,D3,21° 50' 51.16'',102° 20' 20.9'',9,30,6.6,161°
26/10/2023,13:04,D3,21° 50' 55.02'',102° 20' 36.1'',9,30,6.6,160°
26/10/2023,13:12,D3,21° 50' 59.31'',102° 20' 49.7'',8,29,6.6,160°
26/10/2023,13:21,D3,21° 51' 2.83'',102° 21' 2.21'',10,29,9.3,90°
26/10/2023,13:30,D2,21° 51' 7.5'',102° 21' 12.2'',8,29,9.3,90°
26/10/2023,13:39,D2,21° 51' 11.65'',102° 21' 15.3'',7,29,9.3,90°
26/10/2023,13:44,D2,21° 51' 14.53'',102° 21' 17.5'',6,30,3.9,192°
